#{"t_start": 1769142870.3963459, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
80.0,1351,5.87679
60.0,1947,6.608415
180.0,2177,7.456998
195.0,2897,8.68543
110.0,1707,9.680676
115.0,2107,10.905862
155.0,1761,11.874052
105.0,1679,12.516256
100.0,1779,13.190764
50.0,1599,13.793063
100.0,1135,14.228838
260.0,2825,15.298317
80.0,1657,15.916002
80.0,1893,16.637872
595.0,4019,18.115599
485.0,4133,19.663355
30.0,1189,20.104004
185.0,2333,20.990782
135.0,1971,21.775922
285.0,2269,23.102516
45.0,1289,23.877025
35.0,1273,24.641633
315.0,2189,25.600456
195.0,3581,26.956745
125.0,2125,27.757268
135.0,2297,28.826186
110.0,1251,29.322599
210.0,2181,30.146465
75.0,1849,30.847558
215.0,2455,31.772914
95.0,1561,32.379744
355.0,4935,34.213973
50.0,1047,34.622097
145.0,2423,35.865173
135.0,2017,37.047287
480.0,3887,38.957036
235.0,3377,40.23943
60.0,1221,40.715835
80.0,1283,41.209679
180.0,2469,42.150365
110.0,1891,42.877027
210.0,2439,43.793529
35.0,1459,44.350734
85.0,1147,44.795229
165.0,1947,45.527382
225.0,2355,46.416528
125.0,2467,47.347559
210.0,2875,48.522533
110.0,1909,49.630308
80.0,1837,50.716815
225.0,2717,52.050603
105.0,2453,52.970061
265.0,2173,53.793493
110.0,1693,54.442661
485.0,2919,55.534232
55.0,1767,56.206452
60.0,1491,56.767522
120.0,2061,57.551207
225.0,2339,58.436513
140.0,2443,59.375639
405.0,3525,60.694808
70.0,1911,61.431753
240.0,2607,62.879898
210.0,2499,64.34676
125.0,1961,65.284628
95.0,1927,66.023094
215.0,2411,66.931679
105.0,1869,67.635154
315.0,3109,68.808834
230.0,2663,69.812931
95.0,1795,70.487555
440.0,2563,71.45085
130.0,1967,72.20148
280.0,2755,73.236156
30.0,1159,73.670127
165.0,1541,74.258498
80.0,1261,74.734087
155.0,1893,75.797953
265.0,2867,77.440672
50.0,1105,78.094095
120.0,2083,78.907927
115.0,2405,79.816173
170.0,1897,80.541107
210.0,2369,81.43944
80.0,1177,81.881924
45.0,1115,82.309417
290.0,2751,83.343093
135.0,1943,84.090895
50.0,1137,84.539741
30.0,1209,85.007257
190.0,2301,85.884195
210.0,4475,87.554358
495.0,2721,88.824775
210.0,2769,90.411977
180.0,1991,91.56039
50.0,1195,92.017861
100.0,1611,92.621545
135.0,1887,93.347103
155.0,1999,94.114637
55.0,1853,94.812256
110.0,2089,95.618674
225.0,3643,96.970692
360.0,3005,98.124416
110.0,2201,98.951789
225.0,2709,99.971413
140.0,2175,100.801206
230.0,2707,102.015771
90.0,1527,102.910698
105.0,2021,104.069056
80.0,1585,104.9515
80.0,1693,105.601034
170.0,1909,106.318976
150.0,1663,106.959888
735.0,4159,108.473824
215.0,3017,109.615661
110.0,2373,110.502315
185.0,2305,111.376342
180.0,2259,112.234994
210.0,3221,113.440403
330.0,4125,115.043497
130.0,1545,115.945844
50.0,1317,116.710748
130.0,1585,117.641971
50.0,1025,118.240782
105.0,1771,118.904488
20.0,1577,119.532948
475.0,2915,120.623615
85.0,1801,121.310917
110.0,1773,121.984915
110.0,1817,122.681133
155.0,1905,123.400588
150.0,2119,124.203012
185.0,2777,125.273112
90.0,1239,125.741419
55.0,1147,126.170756
155.0,1581,126.790498
125.0,1671,127.438709
180.0,2447,128.462999
155.0,2103,129.673958
20.0,1525,130.574735
320.0,2481,131.866704
90.0,1153,132.2976
75.0,1855,133.004629
325.0,3125,134.159585
170.0,2329,135.05174
210.0,2067,135.830171
110.0,1979,136.573913
85.0,1171,137.029716
80.0,1161,137.476471
395.0,2613,138.471728
80.0,1525,139.057
210.0,2429,139.967071
440.0,3563,141.329792
50.0,1199,141.929017
115.0,1455,142.756984
110.0,2049,143.936584
75.0,1577,144.873481
380.0,2639,145.873053
125.0,1995,146.637114
65.0,1325,147.132152
120.0,2329,148.030205
105.0,1887,148.746107
65.0,1493,149.352234
210.0,2081,150.15066
135.0,1993,150.921027
40.0,1667,151.558559
165.0,2165,152.387554
30.0,1595,152.981968
155.0,2251,153.845555
180.0,2443,154.774644
90.0,2131,155.963125
50.0,1589,156.894031
210.0,1683,157.880447
35.0,1587,158.588718
105.0,1857,159.304373
215.0,2671,160.313784
60.0,1513,160.889601
245.0,3365,162.162865
120.0,2127,162.976054
95.0,2127,163.784295
45.0,1085,164.219219
270.0,3195,165.430828
65.0,1935,166.166582
80.0,1543,166.751652
110.0,2125,167.567183
105.0,1817,168.331675
45.0,1285,169.089751
265.0,2823,170.722287
210.0,2405,171.898377
240.0,2771,172.945305
155.0,2317,173.820967
135.0,2429,174.766586
210.0,2103,175.593519
185.0,2207,193.95481
155.0,2357,207.394351
110.0,1675,217.312221
30.0,1565,226.573267
75.0,1247,233.018874
150.0,2199,245.872362
115.0,1963,258.320165
115.0,2011,270.850085
520.0,3349,292.385358
335.0,3127,311.633961
150.0,2087,324.704518
175.0,2079,337.855879
70.0,1167,345.740413
80.0,1207,352.653102
150.0,2529,369.492617
60.0,1695,379.220113
35.0,1135,386.637243
90.0,1201,393.915365
60.0,1683,404.176667
35.0,1143,411.674517
165.0,2073,424.859882
140.0,2469,440.13612
165.0,2335,454.774401
30.0,1097,462.072591
190.0,2087,475.236612
165.0,2339,489.969273
340.0,2487,505.554273
55.0,1225,513.514001
270.0,3085,532.683053
480.0,4205,559.283045
180.0,2367,574.013949
175.0,2531,589.654576
40.0,1061,596.725218
175.0,2325,611.224306
105.0,1667,621.84861
210.0,2827,639.567907
360.0,3177,660.359987
50.0,1173,667.271225
155.0,1989,679.880973
180.0,2381,695.037326
125.0,1645,705.547925
490.0,3368,727.389665
65.0,1497,736.751869
270.0,2757,754.163069
60.0,2239,768.334314
210.0,2887,786.309917
30.0,1867,798.153037
290.0,2757,816.560077
180.0,1961,828.802946
65.0,1237,836.332618
465.0,2347,851.093277
100.0,1957,863.549695
85.0,1235,871.829778
220.0,3319,892.404812
170.0,2479,909.043122
50.0,1553,918.100942
55.0,1577,928.320825
115.0,1495,938.195307
80.0,2003,951.054105
80.0,1885,963.30971
260.0,3183,983.482746
110.0,2071,996.937228
150.0,2017,1010.019675
180.0,3057,1030.463792
75.0,1187,1037.798478
105.0,2641,1055.553064
105.0,1765,1067.039066
50.0,1145,1073.838254
50.0,1231,1082.08794
80.0,1117,1088.78817
510.0,3527,1112.005958
415.0,2749,1130.17984
60.0,1583,1140.252232
85.0,1833,1152.214068
400.0,3215,1173.491418
175.0,3029,1192.476816
210.0,2381,1207.72963
30.0,1643,1218.534431
120.0,2015,1231.526419
175.0,2675,1249.297054
105.0,1993,1261.996897
360.0,2541,1278.737968
75.0,1297,1286.497193
180.0,2375,1302.6741
320.0,4153,1329.963582
410.0,2421,1345.410126
260.0,3217,1366.028999
65.0,1949,1378.463601
60.0,2541,1395.843417
265.0,2313,1410.811429
110.0,1735,1422.252825
175.0,2423,1437.784842
180.0,2415,1453.288514
105.0,1835,1465.325592
85.0,1829,1477.169628
135.0,2429,1492.691536
125.0,2547,1509.198204
145.0,2013,1522.218838
265.0,3955,1548.372333
155.0,2367,1564.200714
105.0,2347,1580.030939
105.0,2211,1594.3603
130.0,1941,1606.825928
485.0,3073,1626.393098
495.0,2873,1645.728956
170.0,3753,1670.001103
165.0,1997,1682.827276
175.0,2411,1698.914589
135.0,2343,1714.144494
260.0,2915,1732.916971
105.0,1939,1745.695248
380.0,2521,1762.834054
215.0,4813,1794.491984
210.0,2549,1811.041168
210.0,2441,1827.007797
135.0,2213,1841.943232
